result.match_id,result.radiant_win,result.duration,result.player_1_hero_id,result.player_2_hero_id,result.player_3_hero_id,result.player_4_hero_id,result.player_5_hero_id,result.player_6_hero_id,result.player_7_hero_id,result.player_8_hero_id,result.player_9_hero_id,result.player_10_hero_id
1729093401,FALSE,2549,73,27,86,8,7,41,36,60,30,25
1729093402,FALSE,2960,41,100,52,105,14,15,53,11,104,25
1729093430,TRUE,2580,104,51,46,21,55,68,44,70,57,74
1729093432,FALSE,2409,35,70,41,25,105,6,73,17,68,21
1729093433,FALSE,3272,112,9,25,21,2,98,101,22,71,8
1729093434,FALSE,3342,60,100,75,25,11,101,59,85,35,33
1729093435,TRUE,2177,8,89,14,46,75,53,1,63,21,71
1729093436,TRUE,2135,84,105,14,94,107,1,60,25,92,43
1729093437,TRUE,2380,54,48,106,100,5,97,17,20,42,57
1729093438,FALSE,1972,88,75,19,62,71,5,72,28,22,1
1729093439,FALSE,2165,1,5,9,99,14,75,55,21,57,39
1729093440,TRUE,2031,27,74,71,47,82,19,25,11,44,15
1729093442,TRUE,2966,99,19,86,17,75,52,47,104,14,58
1729093443,FALSE,2248,48,106,23,93,85,94,44,5,72,2
1729093507,TRUE,1500,52,71,100,12,45,56,111,9,72,90
1729093445,TRUE,2457,54,74,73,105,5,100,96,20,76,49
1729093446,FALSE,2118,19,73,4,69,58,35,54,44,14,6
1729093447,TRUE,2372,71,93,4,60,106,62,87,8,7,21
1729093448,TRUE,3728,12,39,5,44,59,6,69,49,47,4
1729093449,TRUE,2764,7,94,21,95,74,64,99,76,26,103
1729093450,TRUE,3543,98,44,86,91,21,35,14,39,4,25
1729093451,TRUE,3347,42,21,14,72,7,2,30,12,62,6
1729093453,FALSE,3179,9,104,101,98,76,15,105,61,25,56
1729093489,TRUE,3382,100,69,8,33,109,96,11,59,83,80
1729093490,TRUE,2124,14,104,99,81,25,5,22,68,49,86
1729093491,FALSE,2047,12,35,88,70,48,21,96,6,62,32
1729093492,TRUE,2112,14,84,26,39,102,41,60,52,35,106
1729093494,FALSE,3154,26,73,44,39,101,41,25,102,48,14
1729093495,TRUE,2647,86,19,31,52,67,11,17,101,39,62
1729093496,FALSE,2469,16,104,42,25,4,5,32,72,8,36
1729093497,TRUE,3607,93,74,14,105,50,39,46,2,51,12
1729093498,TRUE,2631,14,12,32,69,7,106,4,59,35,44
1729093499,FALSE,3008,84,101,15,28,17,88,100,110,44,63
1729093500,TRUE,1896,26,31,42,70,53,50,1,7,74,44
1729093503,FALSE,3406,12,7,100,11,75,33,17,77,112,23
1729093504,TRUE,2670,21,12,99,14,42,19,80,30,44,7
1729093505,FALSE,3016,18,88,17,7,100,44,6,19,86,72
1729093506,FALSE,3206,8,34,86,5,71,53,45,72,58,77
1729093508,FALSE,2868,72,62,14,48,53,23,25,32,49,15
1729093510,TRUE,2496,8,56,11,5,84,30,104,72,12,34
1729093528,FALSE,2335,17,104,30,18,83,87,57,32,100,75
1729093529,FALSE,2851,7,12,11,84,59,75,21,17,2,57
1729093530,FALSE,2753,68,6,107,39,54,92,41,15,33,25
1729093531,FALSE,1967,87,44,5,99,93,17,14,7,71,72
1729093532,FALSE,2856,16,5,83,97,104,7,4,21,12,44
1729093533,FALSE,2354,104,45,12,42,11,71,100,54,103,8
1729093534,TRUE,2183,11,26,102,87,72,105,84,62,8,5
1729093535,FALSE,2993,26,71,8,105,27,11,22,106,100,36
1729093536,TRUE,1757,86,14,18,12,70,35,7,106,8,29
1729093537,TRUE,2729,70,4,29,9,3,44,17,27,87,7
1729093538,FALSE,2832,42,17,86,48,10,75,54,100,1,74
1729093541,FALSE,2301,35,15,6,17,50,4,32,11,70,14
1729093542,TRUE,2750,12,4,21,55,11,85,26,72,7,106
1729093543,FALSE,2761,44,8,48,32,22,35,46,85,30,93
1729093544,FALSE,2174,12,80,45,38,53,4,89,58,16,50
1729093545,FALSE,1742,93,50,66,25,99,52,4,29,55,12
1729093546,FALSE,2423,35,30,27,41,14,21,59,74,47,4
1729093547,TRUE,1764,112,14,81,62,36,4,93,39,86,97
1729093568,FALSE,2938,32,94,2,50,53,1,48,30,62,71
1729093570,FALSE,3064,66,52,105,22,49,58,87,13,1,98
1729093572,FALSE,2100,26,17,50,28,59,30,107,93,101,29
1729093573,FALSE,3256,100,12,105,3,45,18,73,85,11,25
1729093574,TRUE,2987,84,27,25,1,17,93,34,10,75,16
1729093576,FALSE,3002,59,40,81,75,6,14,16,19,70,102
1729093577,TRUE,2175,63,33,11,91,51,17,19,72,20,98
1729093578,TRUE,1365,11,73,20,2,14,8,35,44,83,19
1729093579,TRUE,2140,52,105,4,96,62,14,80,93,22,74
1729093580,TRUE,3336,17,19,8,104,44,54,100,1,12,71
1729093581,TRUE,1607,72,105,50,100,25,8,85,75,39,52
1729093582,FALSE,1991,74,14,101,104,99,39,67,56,11,12
1729093583,TRUE,2324,34,43,4,1,50,25,23,41,100,53
1729093584,FALSE,3259,73,63,8,100,41,49,1,35,110,32
